neighbourhood,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kingsview Village-The Westway,1,5,1,5,5,8,4,6,3,7,5,6,4,5,4,5,5,10,10,10,10
Kingsway South,1,1,5,4,9,7,3,4,8,10,10,10,10,10,9,8,10,7,10,10,10
L'Amoreaux,1,1,6,10,10,9,5,5,8,5,10,10,10,10,10,8,10,9,10,6,6
Lambton Baby Point,1,5,5,4,7,7,10,9,6,8,10,10,7,7,10,8,7,4,6,9,5
Lansing-Westgate,1,6,7,9,8,8,10,10,10,10,10,10,10,10,8,9,6,2,7,5,9
Lawrence Park North,1,1,5,7,9,6,6,10,10,10,9,9,5,9,10,10,10,10,9,6,3
Lawrence Park South,1,1,6,9,8,10,9,6,5,6,10,10,10,7,10,10,10,10,10,8,10
Leaside-Bennington,1,5,7,3,3,1,1,5,5,6,9,10,6,6,3,2,3,5,6,10,10
Little Portugal,1,1,5,4,9,10,9,10,6,10,10,7,9,10,9,10,10,10,7,8,10
Long Branch,1,4,3,5,2,1,1,1,4,8,4,6,4,7,3,7,8,9,8,10,10
Malvern,1,4,7,4,8,5,8,4,2,6,7,5,9,10,10,6,4,9,7,9,6
Maple Leaf,3,2,2,7,5,1,1,1,1,2,1,1,1,6,3,2,7,9,10,9,10
Markland Wood,3,1,1,1,1,5,4,7,3,8,10,10,10,10,8,8,10,10,10,7,10
Milliken,3,6,10,10,6,3,7,4,3,1,4,3,5,5,10,9,6,4,1,6,9
Mimico,1,1,3,2,4,5,5,10,10,10,10,7,3,5,4,6,4,5,9,10,10
Morningside,4,1,2,1,3,1,1,1,1,6,8,9,10,9,7,9,8,10,10,6,7
Moss Park,1,1,1,4,3,3,3,3,1,6,2,2,6,8,10,10,10,7,3,2,2
Mount Dennis,2,4,3,3,1,6,7,5,4,8,5,7,10,7,9,6,8,7,5,1,6
Mount Olive-Silverstone-Jamestown,2,2,5,9,10,10,8,10,9,5,3,5,2,4,1,1,4,9,9,10,10
Mount Pleasant East,4,2,5,7,10,10,10,10,9,10,10,6,7,9,10,6,6,4,4,4,6
Mount Pleasant West,2,1,4,1,1,5,8,10,10,8,8,4,2,1,2,4,7,3,6,6,7
New Toronto,2,1,1,3,5,3,8,4,2,1,5,4,5,10,7,4,1,2,2,1,2
Newtonbrook East,1,1,1,3,1,1,1,4,8,5,7,3,1,6,10,10,6,10,10,10,10
Newtonbrook West,2,1,4,1,1,6,2,3,1,4,8,10,10,10,6,3,6,3,1,1,1
Niagara,1,1,5,3,1,5,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10
North Riverdale,1,5,1,1,1,1,4,1,1,1,4,5,10,10,10,10,9,10,10,10,10
North St.James Town,1,1,4,5,10,10,10,10,10,10,10,10,7,6,3,2,1,1,1,1,1
O'Connor-Parkview,1,6,9,9,10,10,6,9,8,5,8,7,7,8,7,7,7,10,6,2,2
Oakridge,4,9,10,10,7,3,4,1,1,1,1,4,5,9,6,10,10,9,5,1,6
Oakwood Village,1,1,4,1,1,1,1,1,1,5,3,6,6,6,3,5,10,10,10,10,10
Old East York,1,6,4,1,1,5,4,4,9,10,8,10,10,6,8,10,10,10,9,7,8
Palmerston-Little Italy,2,7,8,7,3,6,4,9,10,10,10,10,10,10,10,10,10,10,8,10,10
Parkwoods-Donalda,1,3,8,6,8,9,10,10,10,9,10,10,9,10,10,10,10,7,3,7,3
Pelmo Park-Humberlea,4,9,10,6,10,10,10,10,7,9,5,6,10,10,10,10,10,10,8,6,4
Playter Estates-Danforth,1,1,4,8,10,9,10,7,5,8,7,10,10,8,10,10,10,6,6,3,3
Pleasant View,1,1,5,1,1,4,8,5,5,1,1,3,5,7,4,1,6,3,1,5,4
Princess-Rosethorn,2,4,5,4,4,7,10,10,10,10,10,10,10,10,10,10,6,9,10,8,10
Regent Park,2,1,1,6,9,9,10,10,7,9,9,7,10,6,10,9,5,9,8,7,10
Rexdale-Kipling,2,6,7,5,3,5,5,8,10,10,6,9,10,10,10,10,10,6,9,8,10
Rockcliffe-Smythe,4,2,3,5,8,4,7,10,10,9,5,7,6,3,1,1,5,6,10,9,10
Roncesvalles,4,2,1,6,7,9,9,7,4,2,1,3,7,5,1,1,1,3,2,5,1
Rosedale-Moore Park,1,1,1,4,6,4,9,10,8,8,10,10,10,8,5,4,5,5,10,10,10
Rouge,2,3,1,3,4,5,1,5,2,7,10,10,10,6,6,4,7,8,10,8,10
Runnymede-Bloor West Village,1,1,2,5,5,5,2,1,1,5,6,10,10,10,10,6,8,5,9,6,5
Rustic,1,3,3,1,3,3,6,7,7,7,4,7,10,10,10,10,9,10,10,10,6
Scarborough Village,2,5,8,9,10,10,7,8,10,7,4,6,10,9,5,3,8,10,10,7,8
South Parkdale,1,4,7,9,7,10,10,10,10,10,7,7,5,4,5,4,3,1,5,7,6
South Riverdale,4,7,3,5,10,10,10,6,6,10,9,10,10,6,6,3,5,1,6,7,4
St.Andrew-Windfields,3,1,2,1,3,4,6,3,1,4,7,4,2,7,6,4,6,10,10,8,7
Steeles,4,3,5,2,1,4,5,4,1,1,1,1,4,5,6,9,5,2,1,1,4
Stonegate-Queensway,4,5,10,10,10,10,10,8,5,6,9,6,10,10,10,10,9,10,7,7,5
Tam O'Shanter-Sullivan,2,7,3,2,7,5,4,9,10,9,10,7,3,6,5,4,6,8,4,3,1
Taylor-Massey,3,1,1,4,7,10,7,6,8,5,6,3,1,1,6,10,7,10,10,8,7
The Beaches,4,1,4,7,3,7,10,10,6,10,8,4,5,2,1,5,5,5,1,1,3
Thistletown-Beaumond Heights,2,1,1,3,7,3,8,10,10,10,10,9,10,8,10,10,10,8,10,10,7
Thorncliffe Park,2,1,2,7,5,10,10,7,9,10,10,7,10,10,10,9,7,7,3,7,9
Trinity-Bellwoods,1,4,2,1,1,1,5,6,10,8,4,5,7,10,8,10,10,9,5,4,6
University,1,3,1,3,4,8,10,6,9,7,6,3,1,1,4,1,3,7,3,7,3
Victoria Village,2,1,3,1,4,2,6,2,7,5,4,3,1,1,3,1,5,2,1,4,6
Waterfront Communities-The Island,2,1,1,1,2,7,5,1,5,8,7,5,3,1,1,1,2,3,2,5,8
West Hill,4,5,8,10,10,10,10,7,5,7,6,6,10,10,6,2,1,1,4,1,1
West Humber-Clairville,1,1,3,4,2,3,1,2,5,9,10,10,9,10,7,6,3,1,4,3,3
Westminster-Branson,4,8,4,2,7,4,3,2,6,9,7,9,10,10,10,7,10,10,10,7,5
Weston,2,1,4,7,3,2,1,6,9,10,7,3,4,9,10,10,9,7,9,10,10
Weston-Pellam Park,3,4,5,4,9,6,9,10,10,10,10,10,10,10,10,10,10,10,10,6,5
Wexford/Maryvale,3,1,1,1,1,4,5,9,10,9,9,10,10,9,10,10,10,10,8,7,10
Willowdale East,3,1,3,5,4,4,9,10,10,7,6,8,10,10,10,6,5,1,2,1,2
Willowdale West,1,1,6,4,1,1,1,2,4,5,2,1,1,1,1,5,10,10,10,9,10
Willowridge-Martingrove-Richview,3,1,1,1,6,2,1,1,1,1,1,1,1,6,7,10,8,7,10,10,10
Woburn,4,7,4,6,6,6,6,5,8,4,8,9,5,9,6,8,10,10,9,10,8
Woodbine Corridor,2,1,2,1,2,7,7,9,6,8,5,1,2,3,2,1,1,1,1,5,9
Woodbine-Lumsden,2,2,4,9,8,9,10,10,10,10,10,8,8,8,8,10,6,3,2,6,6
Wychwood,1,1,1,1,4,7,3,2,3,5,2,4,1,5,7,5,3,1,1,1,3
Yonge-Eglinton,1,3,1,1,5,3,5,4,6,8,9,10,6,2,4,5,5,7,7,8,5
Yonge-St.Clair,1,1,4,9,10,9,10,6,9,10,10,10,10,8,8,10,10,9,6,8,7
York University Heights,2,1,1,1,6,4,2,6,2,1,1,1,1,1,1,1,2,1,1,1,1
Yorkdale-Glen Park,4,1,1,1,1,6,6,9,6,5,1,6,10,10,10,10,10,6,9,6,10
